日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2019-06-25,10.07,10.1,10.07,10.1,1198,-0.1787,-1.74
2019-06-26,10.09,10.249,10.09,10.2113,12158,0.1113,1.1
2019-06-27,10.08,10.08,10.08,10.08,250000,-0.1313,-1.29
2019-06-28,10.21,10.21,10.05,10.07,105530,-0.01,-0.1
2019-07-01,10.0816,10.0816,10.05,10.05,100563,-0.02,-0.2
2019-07-02,10.07,10.07,10.07,10.07,125002,0.02,0.2
2019-07-05,10.1,10.1,10.1,10.1,2100,0.03,0.3
2019-07-08,10.08,10.08,10.08,10.08,308,-0.02,-0.2
2019-07-09,10.1,10.1,10.1,10.1,540,0.02,0.2
2019-07-11,10.0428,10.06,10.0232,10.06,1147,-0.04,-0.4
2019-07-24,9.97,10.07,9.97,10.05,368492,-0.01,-0.1
2019-07-26,10.03,10.05,9.98,10.05,1600,0.0,0.0
2019-07-30,10.88,10.88,10.05,10.34,1230,0.29,2.89
2019-07-31,10.12,10.12,10.12,10.12,501,-0.22,-2.13
2019-08-07,10.05,10.1,10.0,10.1,5495,-0.02,-0.2
2019-08-27,9.98,10.02,9.98,10.02,1604,-0.08,-0.79
2019-08-30,9.98,10.05,9.98,10.05,1089,0.03,0.3
2019-09-04,10.03,10.03,10.03,10.03,690,-0.02,-0.2
2019-09-09,10.1,10.1,10.1,10.1,25002,0.07,0.7
2019-10-09,10.05,10.05,10.05,10.05,500000,-0.05,-0.5
2019-10-16,10.1,10.2,10.1,10.2,1050377,0.15,1.49
2019-10-18,10.2,10.2,10.07,10.2,2724,0.0,0.0
2019-10-23,10.05,10.2,10.05,10.2,2122,0.0,0.0
2019-10-29,10.11,10.12,10.07,10.09,2412021,-0.11,-1.08
2019-10-31,10.08,10.08,10.08,10.08,250000,-0.01,-0.1
2019-11-04,10.15,10.15,10.15,10.15,5000,0.07,0.69
2019-11-05,10.07,10.15,10.07,10.15,10872,0.0,0.0
2019-11-06,10.14,10.15,10.14,10.15,300,0.0,0.0
2019-11-07,10.15,10.15,10.15,10.15,300,0.0,0.0
2019-11-08,10.15,10.15,10.15,10.15,300,0.0,0.0
2019-11-20,10.2,10.2,10.2,10.2,300,0.05,0.49
2019-11-22,10.15,10.15,10.15,10.15,1100,-0.05,-0.49
2019-11-25,10.13,10.14,10.08,10.14,1100144,-0.01,-0.1
2019-11-26,10.12,10.12,10.12,10.12,701,-0.02,-0.2
2019-12-05,10.17,10.17,10.17,10.17,399,0.05,0.49
2019-12-06,10.2,10.2,10.2,10.2,28800,0.03,0.29
2019-12-16,10.2,10.2,10.2,10.2,739,0.0,0.0
2019-12-18,10.2,10.2,10.2,10.2,4600,0.0,0.0
2019-12-19,10.2,10.2,10.2,10.2,5000,0.0,0.0
2019-12-20,10.1998,10.1998,10.1998,10.1998,114,-0.0002,0.0
2019-12-26,10.1998,10.1998,10.1998,10.1998,997,0.0,0.0
2020-01-02,10.2,10.2,10.2,10.2,37962,0.0002,0.0
2020-01-03,11.0,11.0,10.25,10.25,673,0.05,0.49
2020-01-06,10.52,10.54,10.2,10.36,3700,0.11,1.07
2020-01-08,10.25,10.28,10.25,10.26,257718,-0.1,-0.97
2020-01-09,10.29,10.29,10.29,10.29,100093,0.03,0.29
2020-01-10,10.35,10.4,10.35,10.35,250100,0.06,0.58
2020-01-13,10.4,10.4,10.4,10.4,105001,0.05,0.48
2020-01-14,10.44,10.46,10.44,10.46,371600,0.06,0.58
2020-01-15,10.45,10.5,10.45,10.5,39505,0.04,0.38
2020-01-16,10.5,10.55,10.5,10.5,90009,0.0,0.0
2020-01-17,10.54,10.55,10.54,10.55,70780,0.05,0.48
2020-01-21,10.56,10.65,10.56,10.59,286896,0.04,0.38
2020-01-22,10.6,10.6,10.6,10.6,168,0.01,0.09
2020-01-23,10.5,10.59,10.5,10.59,32000,-0.01,-0.09
2020-01-24,10.69,10.7,10.5,10.58,125847,-0.01,-0.09
2020-01-27,10.6,10.6,10.6,10.6,518,0.02,0.19
2020-01-29,10.56,10.56,10.56,10.56,200,-0.04,-0.38
2020-01-30,10.6,10.6,10.6,10.6,591,0.04,0.38
2020-02-03,10.586,10.586,10.586,10.586,151,-0.014,-0.13
2020-02-04,10.6184,10.6184,10.58,10.58,1500,-0.006,-0.06
2020-02-05,10.65,10.65,10.6,10.6,281392,0.02,0.19
2020-02-06,10.6,10.605,10.6,10.605,5930,0.005,0.05
2020-02-07,10.6,10.6,10.6,10.6,200101,-0.005,-0.05
2020-02-10,10.58,10.64,10.58,10.6,52200,0.0,0.0
2020-02-11,10.6,10.61,10.6,10.6,118244,0.0,0.0
2020-02-13,10.575,10.575,10.575,10.575,3008,-0.025,-0.24
2020-02-14,10.55,10.59,10.55,10.59,587,0.015,0.14
2020-02-18,10.55,10.55,10.55,10.55,701,-0.04,-0.38
2020-02-19,10.6,10.65,10.6,10.6,54344,0.05,0.47
2020-02-21,10.6,10.61,10.6,10.61,201330,0.01,0.09
2020-02-24,10.6,10.6,10.51,10.51,100301,-0.1,-0.94
2020-02-25,10.58,10.58,10.58,10.58,500,0.07,0.67
2020-02-26,10.55,10.55,10.55,10.55,62000,-0.03,-0.28
2020-02-27,10.5722,10.5722,10.5722,10.5722,500,0.0222,0.21
2020-02-28,10.52,10.6,10.49,10.6,270565,0.0278,0.26
2020-03-02,10.595,10.6,10.575,10.6,100040,0.0,0.0
2020-03-04,10.6,10.6,10.6,10.6,1078,0.0,0.0
2020-03-05,10.6,10.6,10.5,10.6,4263,0.0,0.0
2020-03-10,10.5219,10.6,10.42,10.5218,65740,-0.0782,-0.74
2020-03-11,10.5,10.5,10.5,10.5,300000,-0.0218,-0.21
2020-03-13,10.75,10.75,9.93,10.5,26716,0.0,0.0
2020-03-16,9.9,10.45,9.73,9.73,1542513,-0.77,-7.33
2020-03-17,9.75,10.45,9.75,10.0,180440,0.27,2.77
2020-03-18,9.7,9.7,9.6,9.7,565320,-0.3,-3.0
2020-03-19,9.61,9.98,9.45,9.6,1015225,-0.1,-1.03
2020-03-20,9.75,10.44,9.75,9.76,321177,0.16,1.67
2020-03-23,9.84,9.84,9.7,9.75,11201,-0.01,-0.1
2020-03-24,9.51,9.94,9.51,9.76,554834,0.01,0.1
2020-03-25,10.0,10.44,9.98,9.99,210601,0.23,2.36
2020-03-27,9.9,9.9,9.9,9.9,175402,-0.09,-0.9
2020-03-30,9.89,10.42,9.85,9.9,21339,0.0,0.0
2020-03-31,9.9,10.235,9.9,10.16,61604,0.26,2.63
2020-04-01,10.14,10.16,10.14,10.15,5851,-0.01,-0.1
2020-04-02,10.12,10.3,10.0,10.1,58571,-0.05,-0.49
2020-04-03,10.0,10.0,10.0,10.0,610,-0.1,-0.99
2020-04-06,10.06,10.1,9.95,9.95,809,-0.05,-0.5
2020-04-07,9.9,10.0,9.87,9.95,360222,0.0,0.0
2020-04-08,10.0,10.07,10.0,10.07,5310,0.12,1.21
2020-04-09,10.0907,10.0947,10.0907,10.0907,3141,0.0207,0.21
2020-04-14,10.1,10.11,10.0,10.09,4265,-0.0007,-0.01
2020-04-15,10.03,10.03,10.03,10.03,362,-0.06,-0.59
2020-04-16,10.05,10.09,10.05,10.08,798479,0.05,0.5
2020-04-17,10.119,10.119,10.0746,10.1,627296,0.02,0.2
2020-04-20,10.1002,10.1002,10.1,10.1,2300,0.0,0.0
2020-04-21,10.07,10.14,10.06,10.07,292367,-0.03,-0.3
2020-04-22,10.07,10.4,10.07,10.35,156133,0.28,2.78
2020-04-24,10.34,10.34,10.34,10.34,100,-0.01,-0.1
2020-04-28,10.3,10.3,10.12,10.28,54312,-0.06,-0.58
2020-04-29,10.2,10.24,10.15,10.15,2985,-0.13,-1.26
2020-04-30,10.17,10.39,10.17,10.2,35913,0.05,0.49
2020-05-01,10.2,10.25,10.2,10.2,296079,0.0,0.0
2020-05-04,10.21,10.25,10.18,10.2,303231,0.0,0.0
2020-05-06,10.2,10.2,10.2,10.2,120669,0.0,0.0
2020-05-08,10.25,10.25,10.2,10.2,300645,0.0,0.0
2020-05-11,10.22,10.22,10.22,10.22,367,0.02,0.2
2020-05-12,10.25,10.39,10.19,10.19,31704,-0.03,-0.29
2020-05-13,10.25,10.27,10.25,10.26,624,0.07,0.69
2020-05-14,10.25,10.25,10.25,10.25,31599,-0.01,-0.1
2020-05-19,10.25,10.25,10.25,10.25,556,0.0,0.0
2020-05-21,10.3,10.3,10.3,10.3,1186,0.05,0.49
2020-05-26,10.25,10.25,10.25,10.25,23172,-0.05,-0.49
2020-05-27,10.26,10.3,10.25,10.25,399428,0.0,0.0
2020-05-29,10.35,10.35,10.25,10.25,61435,0.0,0.0
2020-06-01,10.25,10.3667,10.25,10.34,662328,0.09,0.88
2020-06-02,10.365,10.365,10.33,10.3329,1874,-0.0071,-0.07
2020-06-03,10.3187,10.4,10.3187,10.35,3841,0.0171,0.17
2020-06-04,10.35,10.4,10.35,10.35,3900,0.0,0.0
2020-06-05,10.35,10.36,10.33,10.33,12130,-0.02,-0.19
2020-06-08,10.35,10.65,10.33,10.35,255349,0.02,0.19
2020-06-09,10.35,10.62,10.34,10.35,540685,0.0,0.0
2020-06-10,10.34,10.71,10.34,10.5,134085,0.15,1.45
2020-06-11,10.45,10.45,10.45,10.45,747,-0.05,-0.48
2020-06-12,10.58,10.75,10.575,10.6,602406,0.15,1.44
2020-06-15,10.45,10.69,10.45,10.6,205477,0.0,0.0
2020-06-16,10.6,10.66,10.57,10.6,10839,0.0,0.0
2020-06-17,10.59,10.82,10.577,10.71,263100,0.11,1.04
2020-06-18,10.68,10.8,10.5,10.68,32768,-0.03,-0.28
2020-06-19,10.6,10.75,10.6,10.65,93856,-0.03,-0.28
2020-06-22,10.65,10.7247,10.475,10.6271,20067,-0.0229,-0.22
2020-06-23,10.66,10.72,10.66,10.72,638,0.0929,0.87
2020-06-24,10.72,10.78,10.72,10.72,16832,0.0,0.0
2020-06-25,10.71,10.72,10.5001,10.64,103110,-0.08,-0.75
2020-06-26,10.57,10.57,10.57,10.57,2437,-0.07,-0.66
2020-06-29,10.6,10.645,10.57,10.6,23346,0.03,0.28
2020-06-30,10.605,10.7,10.6,10.69,234482,0.09,0.85
2020-07-01,10.6,10.7,10.53,10.6,69831,-0.09,-0.84
2020-07-02,10.6,11.02,10.6,10.86,130577,0.26,2.45
2020-07-06,10.99,10.99,10.68,10.8,125880,-0.06,-0.55
2020-07-07,10.825,10.95,10.78,10.78,324884,-0.02,-0.19
2020-07-08,10.75,10.9,10.73,10.75,86453,-0.03,-0.28
2020-07-09,10.75,10.97,10.67,10.9,84814,0.15,1.4
2020-07-10,10.905,11.025,10.8509,11.0,186019,0.1,0.92
2020-07-13,11.0,11.1,10.69,10.81,729267,-0.19,-1.73
2020-07-14,10.7201,11.0,10.7201,10.86,85938,0.05,0.46
2020-07-15,10.9,10.94,10.77,10.88,71079,0.02,0.18
2020-07-16,10.78,11.0,10.78,10.95,135961,0.07,0.64
2020-07-17,10.95,11.1,10.95,11.1,47793,0.15,1.37
2020-07-20,10.98,11.05,10.93,10.99,16553,-0.11,-0.99
2020-07-21,11.0,11.15,10.87,11.02,193723,0.03,0.27
2020-07-22,10.87,11.9,10.87,11.07,356034,0.05,0.45
2020-07-23,11.15,11.15,10.86,10.9,79071,-0.17,-1.54
2020-07-24,10.99,11.13,10.9,11.04,64431,0.14,1.28
2020-07-27,11.14,11.15,10.9,11.05,50683,0.01,0.09
2020-07-28,11.0,11.05,10.92,10.96,8075,-0.09,-0.81
2020-07-29,11.05,11.05,10.68,10.8,129138,-0.16,-1.46
2020-07-30,10.8,11.0,10.61,10.61,298730,-0.19,-1.76
2020-07-31,10.7128,10.728,10.4001,10.43,135433,-0.18,-1.7
2020-08-03,10.55,10.595,10.21,10.45,108984,0.02,0.19
2020-08-04,10.4,10.425,10.36,10.4,156351,-0.05,-0.48
2020-08-05,10.45,10.74,10.45,10.59,436141,0.19,1.83
2020-08-06,10.575,10.83,10.53,10.7,166075,0.11,1.04
2020-08-07,10.65,10.7,10.44,10.7,168130,0.0,0.0
2020-08-10,10.6229,10.7,10.474,10.64,213930,-0.06,-0.56
2020-08-11,10.55,10.75,10.55,10.75,65755,0.11,1.03
2020-08-12,10.68,10.75,10.4,10.7,226741,-0.05,-0.47
2020-08-13,10.63,10.71,10.57,10.71,144498,0.01,0.09
2020-08-14,10.63,10.72,10.61,10.61,22802,-0.1,-0.93
2020-08-17,10.64,10.64,10.54,10.54,12210,-0.07,-0.66
2020-08-18,10.53,10.55,10.36,10.38,86031,-0.16,-1.52
2020-08-19,10.45,10.55,10.31,10.35,48280,-0.03,-0.29
2020-08-20,10.45,10.7,10.3,10.55,742343,0.2,1.93
2020-08-21,10.64,10.67,10.42,10.51,27197,-0.04,-0.38
2020-08-24,11.5,11.6,10.83,11.4,12424563,0.89,8.47
2020-08-25,11.7,11.8,11.23,11.39,6372906,-0.01,-0.09
2020-08-26,11.54,11.55,10.83,11.13,2026628,-0.26,-2.28
2020-08-27,11.09,11.23,10.795,10.95,1731647,-0.18,-1.62
2020-08-28,11.09,11.1892,10.92,11.12,1273842,0.17,1.55
2020-08-31,11.2609,11.35,10.95,11.01,1092603,-0.11,-0.99
2020-09-01,11.17,11.54,11.01,11.5,1455541,0.49,4.45
2020-09-02,11.63,12.25,11.5,11.94,4444830,0.44,3.83
2020-09-03,11.85,11.9,11.19,11.4,2118844,-0.54,-4.52
2020-09-04,11.5,12.1,11.03,11.9,1999434,0.5,4.39
2020-09-08,11.73,12.34,11.7,11.88,2269219,-0.02,-0.17
2020-09-09,12.24,12.3,11.8,12.27,1908234,0.39,3.28
2020-09-10,12.7,12.75,12.3807,12.47,1913607,0.2,1.63
2020-09-11,12.87,12.92,12.3717,12.58,1859708,0.11,0.88
2020-09-14,13.26,13.47,13.0,13.1,2694794,0.52,4.13
2020-09-15,13.15,13.7,13.15,13.47,2787645,0.37,2.82
2020-09-16,13.55,13.62,12.65,12.67,2025982,-0.8,-5.94
2020-09-17,12.72,13.15,12.29,12.5,2049741,-0.17,-1.34
2020-09-18,12.62,12.7,11.96,12.12,1685853,-0.38,-3.04
2020-09-21,12.0,12.49,11.39,12.2,2346683,0.08,0.66
2020-09-22,12.4,12.49,11.75,11.87,1467774,-0.33,-2.7
2020-09-23,11.93,12.0,11.12,11.7,1774066,-0.17,-1.43
2020-09-24,11.15,11.5,10.85,11.4,2426974,-0.3,-2.56
2020-09-25,11.35,11.4,11.175,11.39,943023,-0.01,-0.09
2020-09-28,11.69,11.92,11.5,11.68,1149897,0.29,2.55
2020-09-29,11.95,11.95,11.49,11.9,952860,0.22,1.88
2020-09-30,11.86,11.915,11.315,11.42,835432,-0.48,-4.03
2020-10-01,11.52,11.7,10.8,10.85,1784417,-0.57,-4.99
2020-10-02,10.68,11.09,10.56,10.88,1399736,0.03,0.28
2020-10-05,11.05,11.15,10.5301,10.78,1641734,-0.1,-0.92
2020-10-06,10.82,10.835,10.31,10.55,2111869,-0.23,-2.13
2020-10-07,10.53,10.7,10.45,10.54,869220,-0.01,-0.09
2020-10-08,10.51,10.6,10.44,10.5,834071,-0.04,-0.38
2020-10-09,10.6,10.825,10.47,10.55,885889,0.05,0.48
2020-10-12,10.7,10.76,10.53,10.63,799308,0.08,0.76
2020-10-13,10.65,10.78,10.49,10.57,617025,-0.06,-0.56
2020-10-14,10.69,10.73,10.55,10.6,976960,0.03,0.28
2020-10-15,10.58,10.69,10.49,10.51,450797,-0.09,-0.85
2020-10-16,10.69,10.75,10.51,10.57,398266,0.06,0.57
2020-10-19,10.67,10.67,10.35,10.4,609917,-0.17,-1.61
2020-10-20,10.51,10.53,10.3,10.33,635117,-0.07,-0.67
2020-10-21,10.4,10.43,10.13,10.3,1478351,-0.03,-0.29
2020-10-22,10.16,10.27,10.135,10.21,733114,-0.09,-0.87
2020-10-23,10.2,10.275,10.15,10.21,993863,0.0,0.0
2020-10-26,10.19,10.2,10.06,10.14,1515460,-0.07,-0.69
2020-10-27,10.165,10.18,10.0918,10.13,804173,-0.01,-0.1
2020-10-28,10.06,10.11,9.95,10.08,1184111,-0.05,-0.49
2020-10-29,10.14,10.15,10.06,10.09,272517,0.01,0.1
2020-10-30,10.25,10.27,10.07,10.2,1865482,0.11,1.09
2020-11-02,10.15,10.23,10.13,10.15,386371,-0.05,-0.49
2020-11-03,10.15,10.22,10.14,10.18,375293,0.03,0.3
2020-11-04,10.18,10.25,10.16,10.2,541278,0.02,0.2
2020-11-05,10.2,10.28,10.14,10.24,1304724,0.04,0.39
2020-11-06,10.3,10.39,10.235,10.28,1058981,0.04,0.39
2020-11-09,10.3,10.38,10.14,10.16,815073,-0.12,-1.17
2020-11-10,10.25,10.3,10.18,10.19,935340,0.03,0.3
2020-11-11,10.3,10.3,10.16,10.17,669086,-0.02,-0.2
2020-11-12,10.2,10.22,10.11,10.14,1088666,-0.03,-0.29
2020-11-13,10.15,10.18,10.13,10.16,1396843,0.02,0.2
2020-11-16,10.22,10.28,10.17,10.19,723892,0.03,0.3
2020-11-17,10.24,10.25,10.18,10.2,493236,0.01,0.1
2020-11-18,10.25,10.29,10.19,10.2,1250839,0.0,0.0
2020-11-19,10.25,10.74,10.22,10.6,2727942,0.4,3.92
2020-11-20,11.02,12.88,10.81,12.75,14122210,2.15,20.28
2020-11-23,13.3,14.5,12.75,12.9,8532265,0.15,1.18
2020-11-24,13.6152,14.0,12.7,13.6,5090013,0.7,5.43
2020-11-25,13.25,13.69,12.9412,13.59,3057117,-0.01,-0.07
2020-11-27,13.99,15.7,13.92,15.39,4633536,1.8,13.25
2020-11-30,17.14,18.9399,16.16,18.4,10362415,3.01,19.56
2020-12-01,18.95,19.71,16.3,17.0,7253829,-1.4,-7.61
2020-12-02,15.5,18.59,14.0,18.0,10648201,1.0,5.88
2020-12-03,23.65,24.97,19.1,22.98,32274366,4.98,27.67
2020-12-04,29.53,34.44,27.85,31.4,66999991,8.42,36.64
2020-12-07,33.0,43.38,33.0,40.88,58620440,9.48,30.19
2020-12-08,46.59,47.8,36.77,41.8,67770118,0.92,2.25
2020-12-09,40.12,41.93,35.0,36.92,24510759,-4.88,-11.67
2020-12-10,34.3,37.2,33.33,34.17,14593192,-2.75,-7.45
2020-12-11,31.98,33.21,27.69,28.12,22200959,-6.05,-17.7056
2020-12-14,30.35,30.5,25.85,27.76,23704707,-0.36,-1.28
2020-12-15,28.67,30.34,22.32,22.87,37453061,-4.89,-17.62
2020-12-16,25.17,26.0,23.7,24.7,20439851,1.83,8.0
2020-12-17,26.18,26.85,25.0,25.12,11011042,0.42,1.7
2020-12-18,26.36,27.63,25.64,27.62,13912386,2.5,9.95
2020-12-21,29.17,35.25,28.31,35.15,36963703,7.53,27.26
2020-12-22,38.17,39.72,35.31,37.37,30486142,2.22,6.32
2020-12-23,36.15,36.96,33.01,35.22,13841786,-2.15,-5.75
2020-12-24,34.15,34.885,32.0,33.06,8529620,-2.16,-6.13
2020-12-28,34.27,34.3,30.65,31.05,6781368,-2.01,-6.08
2020-12-29,31.0,35.47,30.2,32.36,18538030,1.31,4.22
2020-12-30,33.57,36.22,33.0,36.14,13273571,3.78,11.68
2020-12-31,35.885,35.99,33.35,34.0,6931096,-2.14,-5.92
2021-01-04,34.0,35.2,30.66,31.34,8199088,-2.66,-7.82
2021-01-05,30.0,30.76,28.52,30.05,6778668,-1.29,-4.1161
2021-01-06,30.42,31.9,30.03,30.67,4775010,0.62,2.06
2021-01-07,31.52,33.48,31.3,32.13,6389071,1.46,4.76
2021-01-08,32.69,35.25,31.8,32.99,7701218,0.86,2.68
2021-01-11,32.01,33.25,30.8,31.46,6754127,-1.53,-4.64
2021-01-12,31.54,31.95,30.1,31.47,5443814,0.01,0.03
2021-01-13,32.5,35.75,31.35,33.32,13600973,1.85,5.88
2021-01-14,33.9,33.9,31.7,32.37,7285963,-0.95,-2.85
2021-01-15,32.38,32.68,30.5,30.54,5252554,-1.83,-5.65
2021-01-19,31.03,31.23,29.5,29.85,5959984,-0.69,-2.26
2021-01-20,30.4,33.74,29.5,32.37,14395114,2.52,8.4422
2021-01-21,32.42,34.3,32.0,32.85,7799689,0.48,1.48
2021-01-22,32.3,34.4,31.75,34.0,6326265,1.15,3.5008
2021-01-25,35.43,38.47,33.2,37.45,18601783,3.45,10.15
2021-01-26,37.4,38.2,34.79,36.32,8059774,-1.13,-3.02
2021-01-27,34.87,40.98,33.86,35.24,15043886,-1.08,-2.97
2021-01-28,35.6,36.39,32.64,34.01,5464535,-1.23,-3.49
2021-01-29,34.5,34.6098,31.25,32.7,4862119,-1.31,-3.85
2021-02-01,33.415,33.5998,31.3,33.32,4360237,0.62,1.9
2021-02-02,32.59,34.45,32.45,32.63,4475787,-0.69,-2.07
2021-02-03,33.42,33.5,31.8162,32.2,4728643,-0.43,-1.3178
2021-02-04,32.8054,33.67,31.82,32.86,5855518,0.66,2.05
2021-02-05,33.13,34.62,32.67,33.35,7393290,0.49,1.49
2021-02-08,33.8,34.83,32.15,32.75,9300097,-0.6,-1.8
2021-02-09,32.65,33.87,31.53,33.75,8473937,1.0,3.05
2021-02-10,34.41,35.7,32.11,33.72,8947169,-0.03,-0.09
2021-02-11,33.6,37.35,33.18,35.94,14834175,2.22,6.58
2021-02-12,35.9,37.89,34.7,37.73,8954825,1.79,4.98
2021-02-16,38.8,40.15,35.16,35.53,9914878,-2.2,-5.83
2021-02-17,35.2,35.2498,32.58,34.05,4981000,-1.48,-4.17
2021-02-18,33.1,33.43,32.0401,32.84,4034643,-1.21,-3.55
2021-02-19,33.59,35.75,32.52,33.69,8998678,0.85,2.5883
2021-02-22,33.495,33.67,30.81,31.19,7514949,-2.5,-7.42
2021-02-23,29.86,29.99,25.51,29.2,7175924,-1.99,-6.38
2021-02-24,29.64,29.83,28.43,29.47,3425211,0.27,0.92
2021-02-25,29.51,30.39,27.53,28.15,3896828,-1.32,-4.48
2021-02-26,27.705,28.4,26.18,27.13,4154652,-1.02,-3.62
2021-03-01,27.85,29.69,27.6192,28.97,3074645,1.84,6.78
2021-03-02,28.92,29.46,27.75,27.8,2060924,-1.17,-4.04
2021-03-03,28.39,28.54,25.0,25.23,4535048,-2.57,-9.24
2021-03-04,25.06,25.74,22.0,23.46,7525605,-1.77,-7.02
2021-03-05,23.89,23.95,19.6,22.93,7578329,-0.53,-2.26
2021-03-08,23.26,23.579,21.7002,21.745,4424558,-1.185,-5.17
2021-03-09,23.1,23.6,22.18,23.03,5607037,1.285,5.91
2021-03-10,24.005,25.95,23.6,25.03,5082417,2.0,8.68
2021-03-11,26.38,26.43,25.5,26.29,4570177,1.26,5.03
2021-03-12,26.15,27.76,25.39,27.46,5115195,1.17,4.45
2021-03-15,27.98,29.94,27.8,29.12,5062178,1.66,6.05
2021-03-16,29.5,29.71,27.214,27.91,4536668,-1.21,-4.16
2021-03-17,26.72,28.03,26.3,27.46,6298367,-0.45,-1.61
2021-03-18,30.48,30.95,26.1201,26.3,15115966,-1.16,-4.22
2021-03-19,26.44,31.22,25.25,30.66,25988563,4.36,16.58
2021-03-22,31.14,31.39,29.51,30.09,5729396,-0.57,-1.86
2021-03-23,29.87,30.2999,27.96,28.33,5935398,-1.76,-5.85
2021-03-24,28.77,28.81,25.4,25.52,4034423,-2.81,-9.92
2021-03-25,24.9435,26.08,23.9,26.01,3788269,0.49,1.92
2021-03-26,26.0,26.05,23.52,24.7,3355804,-1.31,-5.04
2021-03-29,24.52,24.63,22.7,23.45,3577127,-1.25,-5.06
2021-03-30,23.61,23.66,22.17,23.62,2991647,0.17,0.72
2021-03-31,24.47,24.75,23.57,24.31,3001051,0.69,2.92
2021-04-01,25.4,26.07,24.16,24.43,2870498,0.12,0.49
2021-04-05,25.3581,25.45,24.52,25.09,2738384,0.66,2.7
2021-04-06,24.9914,25.2792,24.33,25.0,2950121,-0.09,-0.36
2021-04-07,25.13,25.13,22.5,22.53,4553871,-2.47,-9.88
2021-04-08,23.04,23.1084,21.8,22.06,5481159,-0.47,-2.09
2021-04-09,22.0,22.16,21.455,21.62,3018789,-0.44,-1.9946
2021-04-12,21.63,21.67,20.15,20.42,4449110,-1.2,-5.55
2021-04-13,20.52,20.52,19.22,20.04,5754438,-0.38,-1.86
2021-04-14,20.14,20.42,19.1,19.21,5215816,-0.83,-4.1417
2021-04-15,19.35,19.35,17.16,18.06,7541967,-1.15,-5.99
2021-04-16,17.87,18.4095,17.59,17.67,3396112,-0.39,-2.1595
2021-04-19,17.8,17.9,16.75,16.84,4834369,-0.83,-4.7
2021-04-20,16.66,17.63,16.02,16.43,4875241,-0.41,-2.43
2021-04-21,16.33,19.85,16.05,18.93,22782931,2.5,15.22
2021-04-22,18.81,19.18,17.7632,18.79,6319367,-0.14,-0.74
2021-04-23,18.87,22.5,18.84,22.18,11424811,3.39,18.04
2021-04-26,23.91,26.38,23.17,25.51,18620609,3.33,15.01
2021-04-27,24.73,25.51,23.11,23.85,6959037,-1.66,-6.51
2021-04-28,23.36,24.8799,23.2,24.43,3988143,0.58,2.43
2021-04-29,24.85,25.5,23.5,24.59,3632800,0.16,0.65
